,Tourist Place, Location   ,Country, Historical Significance , Natural Beauty , Adventure Activities , Accessibility , Shopping , Nightlife , Water Sports , Wildlife Viewing , Scuba Diving ,Type
0,Abu Simbel Temples, Aswan      ,Egypt, High                   , Low            , Low                  , Medium         , No       , No        , No            , No               , No           ,Historical
1,Pyramids of Giza, Giza       ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Historical
2,Luxor Temple, Luxor      ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Historical
3,The Museum of Egyptian Antiquities, Cairo      ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
4,Alexandria, Alexandria ,Egypt, Medium                 , High           , Medium               , High           , Yes      , Yes       , Yes           , No               , Yes          ,Coastal
5,Aswan, Aswan      ,Egypt, Medium                 , High           , High                 , High           , Yes      , Yes       , Yes           , Yes              , Yes          ,Historical
6,Karnak Temple, Luxor          ,Egypt, High                   , Low            , Low                  , High           , No       , No        , No            , No               , No           ,Historical
7,Mount Sinai, Sinai Peninsula ,Egypt, High                   , High           , Medium               , Medium         , No       , No        , No            , No               , No           ,Natural Parks and Protected Areas
8,St. Catherine's Monastery, Sinai Peninsula ,Egypt, High                   , Low            , Low                  , Low            , No       , No        , No            , No               , No           ,Natural Parks and Protected Areas
9,Khan El Khalili Bazaar, Cairo          ,Egypt, Medium                 , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Commercial
10,Philae Temple, Aswan          ,Egypt, High                   , Low            , Low                  , Medium         , No       , No        , No            , No               , No           ,Historical
11,Alexandria Library, Alexandria     ,Egypt, Medium                 , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
12,Ras Mohammed National Park, Sharm El Sheikh,Egypt, Low                    , High           , High                 , High           , No       , No        , Yes           , Yes              , Yes          ,Natural Parks and Protected Areas
13,Temple of Hatshepsut, Luxor            ,Egypt, High                   , Low            , Low                  , Medium         , No       , No        , No            , No               , No           ,Historical
14,Islamic Cairo, Cairo            ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Historical
15,Abu Simbel Sound and Light Show, Aswan         ,Egypt, High                   , Low            , Low                  , Medium         , No       , Yes       , No            , No               , No           ,Entertainment
16,Colossi of Memnon, Luxor            ,Egypt, High                   , Low            , Low                  , Medium         , No       , No        , No            , No               , No           ,Historical
17,Hurghada Marina, Hurghada         ,Egypt, Low                    , High           , High                 , High           , Yes      , Yes       , Yes           , No               , Yes          ,Coastal
18,Elephantine Island, Aswan            ,Egypt, High                   , High           , Low                  , Medium         , No       , No        , Yes           , No               , No           ,Natural
19,Cairo Citadel, Cairo            ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Historical
20,Wadi El Gemal National Park, Marsa Alam       ,Egypt, Low                    , High           , High                 , Low            , No       , No        , Yes           , Yes              , Yes          ,Natural Parks and Protected Areas
21,Catacombs of Kom El Shoqafa, Alexandria       ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Historical
22,Mosque of Muhammad Ali, Cairo            ,Egypt, High                   , Low            , Low                  , High           , No       , No        , No            , No               , No           ,Historical
23,Al-Azhar Park, Cairo            ,Egypt, Medium                 , High           , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Natural Parks and Protected Areas
24,Coptic Museum, Cairo            ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
25,Egyptian Textile Museum, Cairo            ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
26,Ras Shitan, Sinai Peninsula ,Egypt, Low                    , High           , High                 , Low            , No       , Yes       , Yes           , No               , Yes          ,Natural Parks and Protected Areas
27,Montazah Gardens, Alexandria       ,Egypt, Medium                 , High           , Medium               , High           , Yes      , Yes       , Yes           , No               , Yes          ,Natural
28,Alexandria National Museum, Alexandria       ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
29,Philae Sound and Light Show, Aswan            ,Egypt, High                   , Low            , Low                  , Medium         , No       , Yes       , No            , No               , No           ,Entertainment
30,The Egyptian Museum, Cairo            ,Egypt, High                   , Low            , Low                  , High           , Yes      , Yes       , No            , No               , No           ,Cultural
31,Nubian Village, Aswan            ,Egypt, Medium                 , High           , Low                  , Low            , No       , No        , Yes           , No               , No           ,Cultural
32,Wadi El Rayan, Fayoum           ,Egypt, Low                    , High           , High                 , Low            , No       , No        , No            , Yes              , No           ,Natural Parks and Protected Areas
