Unnamed: 0,Tourist Place,Location,Country,HistoricalSignificance,NaturalBeauty,AdventureActivities,Accessibility,Shopping,Nightlife,WaterSports,WildlifeViewing,ScubaDiving,Url,Type_Coastal,Type_Commercial,Type_Cultural,Type_Entertainment,Type_Historical,Type_Natural Parks and Protected Areas,Cluster
0,Abu Simbel Temples, Aswan      ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297540-d317826-Reviews-Abu_Simbel_Temple_Complex-Abu_Simbel_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
1,Pyramids of Giza, Giza       ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294202-d317746-Reviews-Pyramids_of_Giza-Giza_Giza_Governorate.html,0,0,0,0,1,0,3
2,Luxor Temple, Luxor      ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d318954-Reviews-Luxor_Temple-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,3
3,The Museum of Egyptian Antiquities, Cairo      ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308825-Reviews-The_Museum_of_Egyptian_Antiquities-Cairo_Cairo_Governorate.html,0,0,1,0,0,0,3
4,Alexandria, Alexandria ,Egypt,2,1,2,3,1,1,1,0,Yes,https://www.tripadvisor.com/Tourism-g295398-Alexandria_Alexandria_Governorate-Vacations.html,1,0,0,0,0,0,1
5,Aswan, Aswan      ,Egypt,2,1,3,3,1,1,1,1,Yes,https://www.tripadvisor.com/Tourism-g294204-Aswan_Aswan_Governorate_Nile_River_Valley-Vacations.html,0,0,0,0,1,0,1
6,Karnak Temple, Luxor          ,Egypt,3,0,1,3,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d459885-Reviews-Temple_of_Karnak-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
7,Mount Sinai, Sinai Peninsula ,Egypt,3,1,2,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297554-d554874-Reviews-Mount_Sinai-Saint_Catherine_Red_Sea_and_Sinai.html,0,0,0,0,0,1,4
8,St. Catherine's Monastery, Sinai Peninsula ,Egypt,3,0,1,1,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297554-d321382-Reviews-St_Catherine_s_Monastery-Saint_Catherine_Red_Sea_and_Sinai.html,0,0,0,0,0,1,0
9,Khan El Khalili Bazaar, Cairo          ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d308884-Reviews-Khan_Al_Khalili-Cairo_Cairo_Governorate.html,0,1,0,0,0,0,2
10,Philae Temple, Aswan          ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294204-d317779-Reviews-Temple_of_Philae-Aswan_Aswan_Governorate_Nile_River_Valley.html,0,0,0,0,1,0,0
11,Alexandria Library, Alexandria     ,Egypt,2,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g295398-d459934-Reviews-Bibliotheca_Alexandrina-Alexandria_Alexandria_Governorate.html,0,0,1,0,0,0,2
12,Ras Mohammed National Park, Sharm El Sheikh,Egypt,1,1,3,3,0,0,1,1,Yes,https://www.tripadvisor.com/Attraction_Review-g297555-d1216558-Reviews-Ras_Mohammed_National_Park-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html,0,0,0,0,0,1,5
13,Temple of Hatshepsut, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d318962-Reviews-Temple_of_Hatshepsut_at_Deir_el_Bahari-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
14,Islamic Cairo, Cairo            ,Egypt,3,0,1,3,1,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294201-d469435-Reviews-Islamic_Cairo-Cairo_Cairo_Governorate.html,0,0,0,0,1,0,3
15,Abu Simbel Sound and Light Show, Aswan         ,Egypt,3,0,1,2,0,1,0,0,No,https://www.tripadvisor.com/Attraction_Review-g297540-d1753942-Reviews-Sound_and_Light_Show_Abu_Simbel-Abu_Simbel_Aswan_Governorate_Nile_River_Valley.html,0,0,0,1,0,0,0
16,Colossi of Memnon, Luxor            ,Egypt,3,0,1,2,0,0,0,0,No,https://www.tripadvisor.com/Attraction_Review-g294205-d472001-Reviews-Colossi_of_Memnon-Luxor_Nile_River_Valley.html,0,0,0,0,1,0,0
17,Hurghada Marina, Hurghada         ,Egypt,1,1,3,3,1,1,1,0,Yes,https://www.tripadvisor.com/Attraction_Review-g297549-d3806192-Reviews-Hurghada_Marina-Hurghada_Red_Sea_and_Sinai.html,1,0,0,0,0,0,1
