,Tourist Place,Location,Country,HistoricalSignificance,NaturalBeauty,AdventureActivities,Accessibility,Shopping,Nightlife,WaterSports,WildlifeViewing,ScubaDiving,Type,Url
0,Abu Simbel Temples, Aswan      ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297540-d317826-Reviews-Abu_Simbel_Temple_Complex-Abu_Simbel_Aswan_Governorate_Nile_River_Valley.html
1,Pyramids of Giza, Giza       ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294202-d317746-Reviews-Pyramids_of_Giza-Giza_Giza_Governorate.html
2,Luxor Temple, Luxor      ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d318954-Reviews-Luxor_Temple-Luxor_Nile_River_Valley.html
3,The Museum of Egyptian Antiquities, Cairo      ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294201-d308825-Reviews-The_Museum_of_Egyptian_Antiquities-Cairo_Cairo_Governorate.html
4,Alexandria, Alexandria ,Egypt,Medium,High,Medium,High,Yes,Yes,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Tourism-g295398-Alexandria_Alexandria_Governorate-Vacations.html
5,Aswan, Aswan      ,Egypt,Medium,High,High,High,Yes,Yes,Yes,Yes,Yes,Historical,https://www.tripadvisor.com/Tourism-g294204-Aswan_Aswan_Governorate_Nile_River_Valley-Vacations.html
6,Karnak Temple, Luxor          ,Egypt,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d459885-Reviews-Temple_of_Karnak-Luxor_Nile_River_Valley.html
7,Mount Sinai, Sinai Peninsula ,Egypt,High,High,Medium,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297554-d554874-Reviews-Mount_Sinai-Saint_Catherine_Red_Sea_and_Sinai.html
8,St. Catherine's Monastery, Sinai Peninsula ,Egypt,High,Low,Low,Low,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297554-d321382-Reviews-St_Catherine_s_Monastery-Saint_Catherine_Red_Sea_and_Sinai.html
9,Khan El Khalili Bazaar, Cairo          ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g294201-d308884-Reviews-Khan_Al_Khalili-Cairo_Cairo_Governorate.html
10,Philae Temple, Aswan          ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294204-d317779-Reviews-Temple_of_Philae-Aswan_Aswan_Governorate_Nile_River_Valley.html
11,Alexandria Library, Alexandria     ,Egypt,Medium,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g295398-d459934-Reviews-Bibliotheca_Alexandrina-Alexandria_Alexandria_Governorate.html
12,Ras Mohammed National Park, Sharm El Sheikh,Egypt,Low,High,High,High,No,No,Yes,Yes,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297555-d1216558-Reviews-Ras_Mohammed_National_Park-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html
13,Temple of Hatshepsut, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d318962-Reviews-Temple_of_Hatshepsut_at_Deir_el_Bahari-Luxor_Nile_River_Valley.html
14,Islamic Cairo, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d469435-Reviews-Islamic_Cairo-Cairo_Cairo_Governorate.html
15,Abu Simbel Sound and Light Show, Aswan         ,Egypt,High,Low,Low,Medium,No,Yes,No,No,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g297540-d1753942-Reviews-Sound_and_Light_Show_Abu_Simbel-Abu_Simbel_Aswan_Governorate_Nile_River_Valley.html
16,Colossi of Memnon, Luxor            ,Egypt,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294205-d472001-Reviews-Colossi_of_Memnon-Luxor_Nile_River_Valley.html
17,Hurghada Marina, Hurghada         ,Egypt,Low,High,High,High,Yes,Yes,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g297549-d3806192-Reviews-Hurghada_Marina-Hurghada_Red_Sea_and_Sinai.html
18,Elephantine Island, Aswan            ,Egypt,High,High,Low,Medium,No,No,Yes,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294204-d317766-Reviews-Elephantine_Island-Aswan_Aswan_Governorate_Nile_River_Valley.html
19,Cairo Citadel, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d308820-Reviews-Cairo_Citadel-Cairo_Cairo_Governorate.html
20,Wadi El Gemal National Park, Marsa Alam       ,Egypt,Low,High,High,Low,No,No,Yes,Yes,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g311425-d1055270-Reviews-Wadi_El_Gemal_National_Park-Marsa_Alam_Red_Sea_and_Sinai.html
21,Catacombs of Kom El Shoqafa, Alexandria       ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g295398-d307781-Reviews-Catacombs_of_Kom_el_Shoqafa-Alexandria_Alexandria_Governorate.html
22,Mosque of Muhammad Ali, Cairo            ,Egypt,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g294201-d553171-Reviews-Mosque_of_Muhammad_Ali-Cairo_Cairo_Governorate.html
23,Al-Azhar Park, Cairo            ,Egypt,Medium,High,Low,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g294201-d543611-Reviews-Al_Azhar_Park-Cairo_Cairo_Governorate.html
24,Coptic Museum, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294201-d308822-Reviews-The_Coptic_Museum-Cairo_Cairo_Governorate.html
25,Egyptian Textile Museum, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294201-d3170758-Reviews-Egyptian_Textile_Museum-Cairo_Cairo_Governorate.html
26,Ras Shitan, Sinai Peninsula ,Egypt,Low,High,High,Low,No,Yes,Yes,No,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297547-d15656325-Reviews-Ras_Shitan_Dahb-Dahab_South_Sinai_Red_Sea_and_Sinai.html
27,Montazah Gardens, Alexandria       ,Egypt,Medium,High,Medium,High,Yes,Yes,Yes,No,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g295398-d550320-Reviews-Montazah_Gardens-Alexandria_Alexandria_Governorate.html
28,Alexandria National Museum, Alexandria       ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g295398-d459902-Reviews-Alexandria_National_Museum-Alexandria_Alexandria_Governorate.html
29,Philae Sound and Light Show, Aswan            ,Egypt,High,Low,Low,Medium,No,Yes,No,No,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g294204-d1755635-Reviews-Sound_and_Light_Show_Philae-Aswan_Aswan_Governorate_Nile_River_Valley.html
30,The Egyptian Museum, Cairo            ,Egypt,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g154996-d10333781-Reviews-The_Egyptian_Museum-Mississauga_Ontario.html
31,Nubian Village, Aswan            ,Egypt,Medium,High,Low,Low,No,No,Yes,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g294204-d553252-Reviews-Nubian_Village-Aswan_Aswan_Governorate_Nile_River_Valley.html
32,Wadi El Rayan, Fayoum           ,Egypt,Low,High,High,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g424907-d7652577-Reviews-Wadi_El_Rayan-Al_Fayyum_Al_Fayyum_Governorate.html
